director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Adam Robitel,Taylor Russell,Logan Miller,Deborah Ann Woll,Horror Thriller Fantasy,escape room
Jen McGowan,Hermione Corfield,Jay Paulson,Sean O'Bryan,Thriller Drama Action Crime,rust creek
Wilson Coneybeare,Donald Sutherland,Vincent Kartheiser,Oliver Dennis,Thriller,american hangman
Charles Martin Smith,Bryce Dallas Howard,Edward James Olmos,Alexandra Shipp,Drama Adventure Family,a dog's way home
Neil Burger,Bryan Cranston,Kevin Hart,Nicole Kidman,Comedy Drama,the upside
Jeffrey Nachmanoff,Keanu Reeves,,,Science Fiction Thriller Drama,replicas
n Silva,Natalia Dyer,Kyra Sedgwick,Tim Daly,Drama Family Thriller Science Fiction,after darkness
M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson,Thriller Drama Science Fiction,glass
Vicky Jewson,Noomi Rapace,Sophie Nélisse,Indira Varma,Drama,close
Henry Dunham,James Badge Dale,Brian Geraghty,,Crime Drama Thriller,the standoff at sparrow creek
Timothy Woodward Jr.,Lin Shaye,Michael Welch,Melissa Bolona,Horror,the final wish
Joe Cornish,Louis Ashbourne Serkis,Dean Chaumoo,Tom Taylor,Action Adventure Fantasy Family,the kid who would be king
Steven Knight,Matthew McConaughey,Anne Hathaway,Jason Clarke,Science Fiction Action Adventure Thriller,serenity
Grant Sputore,,,,Science Fiction Thriller,i am mother
Andrew Patterson,Sierra McCormick,Jake Horowitz,,Drama Mystery Science Fiction Thriller,the vast of night
Catherine Hardwicke,Gina Rodriguez,Ismael Cruz Córdova,Anthony Mackie,Drama Action,miss bala
Dan Gilroy,Jake Gyllenhaal,Rene Russo,Toni Collette,Thriller Mystery Horror,velvet buzzsaw
Madeleine Sackler,Jeffrey Wright,William Fichtner,Boyd Holbrook,Drama,o.g
Mike Mitchell,Chris Pratt,Elizabeth Banks,Tiffany Haddish,Action Adventure Animation Comedy Family,the lego movie 2: the second part
Adam Shankman,Taraji P. Henson,Tracy Morgan,Max Greenfield,Comedy Romance,what men want
Hans Petter Moland,Liam Neeson,Tom Bateman,Tom Jackson,Action Crime Thriller Comedy Drama,cold pursuit
Steven Soderbergh,André Holland,Zazie Beetz,Melvin Gregg,Drama,high flying bird
Nicholas McCarthy,Taylor Schilling,Peter Mooney,Colm Feore,Adventure Animation Family,the prodigy
Schulson,Rebel Wilson,Liam Hemsworth,Adam DeVine,Comedy Fantasy Romance,isn't it romantic
Christopher Landon,Jessica Rothe,Israel Broussard,Phi Vu,Comedy Horror Science Fiction,happy death day 2u
Robert Rodriguez,Rosa Salazar,Christoph Waltz,Jennifer Connelly,Action Science Fiction Adventure,alita: battle angel
Dean DeBlois,Jay Baruchel,America Ferrera,Cate Blanchett,Animation Family Adventure,how to train your dragon: the hidden world
Stephen Merchant,Florence Pugh,Lena Headey,Nick Frost,Comedy,fighting with my family
Tyler Perry,Tyler Perry,Courtney Burrell,Patrice Lovely,Comedy,a madea family funeral
Neil Jordan,Isabelle Huppert,Chloë Grace Moretz,Maika Monroe,Mystery Thriller Drama,greta
J. C. Chandor,Ben Affleck,Oscar Isaac,Charlie Hunnam,Action Thriller Crime Adventure,triple frontier
Ryan Fleck,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Action Adventure Science Fiction,captain marvel
n Lelio,Julianne Moore,John Turturro,Michael Cera,Drama Romance,gloria bell
Onofrio,Ethan Hawke,Dane DeHaan,Jake Schur,Fantasy Comedy Family,the kid
,Brianna Denski,Ken Hudson Campbell,Matthew Broderick,Comedy Animation Adventure Family Fantasy,wonder park
Katt Shea,Sophia Lillis,Zoe Renee,Mackenzie Graham,Crime Family Mystery,nancy drew and the hidden staircase
Rupert Wyatt,John Goodman,Ashton Sanders,Jonathan Majors,Science Fiction Action Adventure Thriller,captive state
James Kent,Alexander Skarsgård,Keira Knightley,Jason Clarke,Action Adventure Science Fiction Horror,the aftermath
Justin Baldoni,Cole Sprouse,Haley Lu Richardson,,Romance Drama,five feet apart
John Lee Hancock,Kevin Costner,Woody Harrelson,Kathy Bates,Crime Drama Thriller,the highwaymen
Robert Rodriguez,Roby Attal,Lauren Hatfield,Alejandro Rose Garcia,Thriller Science Fiction Horror Mystery,red 11
Ivan Kavanagh,Emile Hirsch,Tim Ahern,Déborah François,Western,never grow old
Jesse V. Johnson,Tony Jaa,Iko Uwais,Tiger Chen,Thriller Action,triple threat
Jordan Peele,Lupita Nyong'o,Winston Duke,Shahadi Wright Joseph,Horror Mystery Thriller,us
Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi,Thriller History Drama Action,hotel mumbai
