director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Colin Bressler,Leila Annastasia Scott,Jason Scarbrough,Jeff Caperton,"Horror, Crime",the mummy murders
Jake Johnson,Jake Johnson,Anna Kendrick,Natalie Morales,"Comedy, Thriller",self reliance
Howard J. Ford,Ed Westwick,Andrew P. Stephen,Natalya Tsvetkova,"Horror, Thriller",darkgame
Bryce McGuire,Wyatt Russell,Kerry Condon,Amélie Hoeferle,Horror,night swim
Jeffrey Darling,Jacob Elordi,Zachary Quinto,Patrick J. Adams,"Thriller, Crime, Drama",he went that way
Kimani Ray Smith,Charlie Weber,Jon Voight,Marie Avgeropoulos,"Drama, Fantasy",the painter
Renny Harlin,Aaron Eckhart,Nina Dobrev,Tim Blake Nelson,"Action, Thriller",the bricklayer
Joel David Moore,Amanda Crew,Tom Felton,Ashley Greene,"Thriller, Drama",some other woman
Jason Neulander,April Matthis,Robbie Tann,Scott Shepherd,Drama,fugitive dreams
Peter Takla,Ayman Mansour,Faltaos Tamer,Mena Maurice,Comedy,husband for sale
David Ayer,Jason Statham,Emmy Raver-Lampman,Josh Hutcherson,"Action, Crime, Thriller",the beekeeper
Samantha Jayne,Angourie Rice,Reneé Rapp,Auliʻi Cravalho,"Drama, Comedy",mean girls
Jeymes Samuel,LaKeith Stanfield,Omar Sy,Anna Diop,"Adventure, Comedy, Drama",the book of clarence
F. Gary Gray,Kevin Hart,Gugu Mbatha-Raw,Vincent D’Onofrio,"Action, Comedy, Crime",lift
Thomas Vincent,Kaley Cuoco,David Oyelowo,Connie Nielsen,"Drama, Romance, Thriller",role play
Paul G. Volk,Charlie Townsend,Danny Trejo,Robert Carradine,"Western, Thriller, Action",the night they came home
Josh Forbes,Jonah Ray,Kiran Deol,Randee Heller,"Comedy, Horror, Music",destroy all neighbors
Joshua Dixon,Louis Mandylor,Ron Smoorenburg,Vithaya Pansringarm,"Action, Crime, Thriller",hellhound
Dolph Lundgren,Dolph Lundgren,Kelsey Grammer,Christina Villa,Action,wanted man
Gabriela Cowperthwaite,Ariana DeBose,Chris Messina,John Gallagher Jr.,"Science Fiction, Thriller",i.s.s.
Andrew Baird,Alex Pettyfer,Guy Pearce,Crystal Yu,,sunrise
Peter Hutchings,Lucy Hale,Nat Wolff,Britne Oldford,"Romance, Comedy, Drama",which brings me to you
Jon Keeyes,Alice Eve,Antonio Banderas,Paul Reid,"Mystery, Thriller, Crime, Horror",cult killer
Erik Bloomquist,Devin Druid,Amy Hargreaves,Naomi Grace,"Horror, Thriller, Comedy",founders day
Henry Barrial,Jason Bernardo,Jessicah Neufeld,Colleen O'Shaughnessey,"Mystery, Comedy, Thriller",murder and cocktails
Roger Kumble,Dylan Sprouse,Virginia Gardner,Libe Barer,"Romance, Comedy, Drama",beautiful wedding
Jade Halley Bartlett,Martin Freeman,Jenna Ortega,Dagmara Domińczyk,"Thriller, Comedy, Drama",miller's girl
Charles Stone,Snoop Dogg,Tika Sumpter,Mike Epps,Comedy,the underdoggs
Rachel Lambert,Daisy Ridley,Dave Merheje,Parvesh Cheena,"Drama, Comedy, Romance",sometimes i think about dying
Gallego,Ian McShane,Nora Arnezeder,Fanny Ardant,"Thriller, Mystery, Drama",american star
Roxine Helberg,Bel Powley,Tracee Ellis Ross,Jacob Tremblay,"Mystery, Thriller, Drama",cold copy
Bryan Greenberg,Bryan Greenberg,Ryan Eggold,Jamie Chung,Thriller,junction
Mike Cheslik,Ryland Brickson Cole,Tews,Olivia Graves,"Comedy, Adventure, Action",hundreds of beavers
Mike Taylor,Joey Collins,Ena O'Rourke,Jesse Milliner,Horror,there is a monster
Matthew Vaughn,Bryce Dallas Howard,Sam Rockwell,Bryan Cranston,"Action, Adventure, Comedy, Thriller",argylle
Sean Charmatz,Jacob Tremblay,Paul Walter Hauser,Colin Hanks,"Animation, Family, Comedy, Fantasy, Mystery",orion and the dark
Yong Duk Jhun,Henry Golding,Brandon Soo Hoo,Lucy Liu,"Animation, Family, Fantasy",the tiger's apprentice
Laura Chinn,Laura Linney,Nico Parker,Woody Harrelson,"Drama, Comedy",suncoast
Leah McKendrick,Leah McKendrick,Ego Nwodim,Andrew Santino,Comedy,scrambled
Nicholas Manuel Pino,Aubrey Joseph,Nikki Blonsky,Tyrese Gibson,"Drama, Thriller",bosco
Olivia West Lloyd,Jennifer Kim,Kentucker Audley,Marin Ireland,"Drama, Thriller, Horror",somewhere quiet
Pawo Choyning Dorji,Harry Einhorn,Tandin Wangchuk,Deki Lhamo,"Comedy, Drama",the monk and the gun
Demetrius Navarro,Maxfield Camp,Kaileigh Bullard,Alexis Gomez,"Romance, Drama, Music",a nashville wish
Zelda Williams,Kathryn Newton,Cole Sprouse,Liza Soberano,"Comedy, Horror, Romance",lisa frankenstein
Carlson Young,Camila Mendes,Archie Renaux,Thomas Kretschmann,"Romance, Comedy",upgraded
James Bamford,Katherine McNamara,Ian Bohen,Dascha Polanco,"Action, Thriller",air force one down
Nicola Peltz,Nicola Peltz,Virginia Madsen,Richie Merritt,Drama,lola
Donnell,Joe Keery,Camila Morrone,Aldis Hodge,"Romance, Drama, Thriller, Crime",marmalade
Terrence Arlyn,Shaun Paul Costello,Juliette Valdez,Big Daddy Kane,"Thriller, Drama",elementory
Reinaldo Marcus Green,Kingsley Ben-Adir,Lashana Lynch,James Norton,"Music, History, Drama",bob marley: one love
S. J. Clarkson,Dakota Johnson,Sydney Sweeney,Celeste O'Connor,"Action, Fantasy",madame web
Trish Sie,Gina Rodriguez,Damon Wayans Jr.,Tom Ellis,"Romance, Comedy",players
Klaus Menzel,Sharon Stone,Andy García,Iain Glen,"Romance, Drama",what about love
Irving Franco,Oakes Fegley,David Duchovny,T.R. Knight,Drama,adam the first
Adam Newacheck,Holly Kenney,Brendin Brown,Paris Nicole,"Horror, Thriller",stranger in the woods
Dave Meyers,Jennifer Lopez,Joe Cartagena,Kim Petras,"Drama, Music",this is me... now: a love story
William Eubank,Liam Hemsworth,Russell Crowe,Luke Hemsworth,"Action, War, Thriller",land of bad
Emma Westenberg,Clara McGregor,Ewan McGregor,Kim Zimmer,Drama,bleeding love
Christian Sesma,Frank Grillo,Mekhi Phifer,Jaime King,Horror,lights out
h,Colm Meany,Phyllis Logan,Will Attenborough,"Thriller, Horror, Action",no way up
Don E. FauntLeRoy,Tobin Bell,Charles Agron,Alyona Khmara,"Thriller, Science Fiction",altered reality
Teresa Sutherland,Georgina Campbell,Nick Blood,Wai Ching Ho,Horror,"lovely, dark, and deep"
Ethan Coen,Margaret Qualley,Geraldine Viswanathan,Beanie Feldstein,"Comedy, Crime",drive-away dolls
