director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Nicolas Pesce,Andrea Riseborough,Demián Bichir,John Cho,"Horror, Mystery, Thriller",the grudge
William Eubank,Kristen Stewart,Vincent Cassel,Jessica Henwick,Drama,underwater
Miguel Arteta,Tiffany Haddish,Rose Byrne,Salma Hayek,Comedy,like a boss
Jon Avnet,Richard Gere,Peter Dinklage,Walton Goggins,Drama,three christs
Anthony Jerjen,Josh Hartnett,Margarita Levieva,Chandler Riggs,"Crime, Thriller, Drama",inherit the viper
Andrew Desmond,Freya Tingley,Simon Abkarian,Rutger Hauer,"Horror, Thriller, Mystery",the sonata
Daniel Farrands,Mena Suvari,Nick Stahl,Taryn Manning,"Thriller, Drama, Crime",the murder of nicole brown simpson
Ali Zamani,Nicola Posener,Houston Rhines,Michael Teh,"Horror, Fantasy, Action",angels fallen
Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,"Thriller, Action, Crime",bad boys for life
Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,Michael Sheen,"Family, Comedy, Fantasy, Adventure",dolittle
Tyler Perry,Crystal R. Fox,Phylicia Rashad,Bresha Webb,"Drama, Thriller, Mystery",a fall from grace
Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,"Comedy, Crime",the gentlemen
Floria Sigismondi,Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,Drama,the turning
Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,"Drama, Action, War",the last full measure
Will Forbes,Terry Crews,Ludacris,Jamila Velazquez,"Drama, Thriller",john henry
Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,"Action, Thriller",the rhythm section
Oz Perkins,Sophia Lillis,Sammy Leakey,Charles Babalola,"Family, Animation, Adventure",gretel & hansel
Kitty Green,Julia Garner,Matthew Macfadyen,,"Crime, Action, Thriller",the assistant
Cathy Yan,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett-Bell,Thriller,birds of prey
Severin Fiala,Riley Keough,Jaeden Martell,Lia McHugh,"Horror, Drama, Mystery, Thriller",the lodge
