director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Tom McCarthy,Winslow Fegley,Ophelia Lovibond,Craig Robinson,"Family, Mystery, Comedy, Fantasy",timmy failure: mistakes were made
Jeff Baena,Alison Brie,Debby Ryan,John Paul Reynolds,"Thriller, Horror",horse girl
Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,"Romance, Comedy",to all the boys: p.s. i still love you
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,"Action, Science Fiction, Comedy, Family",sonic the hedgehog
Jeff Wadlow,Michael Peña,Maggie Q,Lucy Hale,"Adventure, Fantasy, Horror, Mystery",fantasy island
Stella Meghie,Issa Rae,Lakeith Stanfield,Chelsea Peretti,"Drama, Romance",the photograph
Jim Rash,Julia Louis-Dreyfus,Will Ferrell,Miranda Otto,"Drama, Comedy",downhill
Drew Mylrea,Drew Van Acker,Poppy Delevingne,Natasha Bassett,"Action, Adventure, Comedy",spy intervention
Lone Scherfig,Andrea Riseborough,Tahar Rahim,Zoe Kazan,Horror,the kindness of strangers
Chris Sanders,Harrison Ford,Omar Sy,Cara Gee,"Adventure, Family, Drama",the call of the wild
Autumn de Wilde,Anya Taylor-Joy,Johnny Flynn,Josh O'Connor,"Comedy, Drama, Romance, TV Movie",emma
Dee Rees,Anne Hathaway,Ben Affleck,Rosie Perez,"Drama, Thriller",the last thing he wanted
William Brent Bell,Katie Holmes,Owain Yeoman,Christopher Convery,"Horror, Mystery, Thriller",brahms: the boy ii
Michael Cristofer,Tye Sheridan,Ana de Armas,Helen Hunt,"Thriller, Crime, Drama",the night clerk
Chris Henchy,Brian Quinn,Joe Gatto,Sal Vulcano,Comedy,impractical jokers: the movie
Leigh Whannell,Elisabeth Moss,Aldis Hodge,Storm Reid,"Thriller, Science Fiction, Horror",the invisible man
Brett Haley,Elle Fanning,Justice Smith,Alexandra Shipp,"Romance, Drama",all the bright places
Benh Zeitlin,Tommie Lynn Milazzo,Shay Walker,,Fantasy,wendy
Jason Lei Howden,Daniel Radcliffe,Samara Weaving,Natasha Liu Bordizzo,"Action, Comedy, Crime, Thriller",guns akimbo
Alex Thompson,Kelly O'Sullivan,Ramona Edith Williams,Charin Alvarez,"Comedy, Drama",saint frances
Dan Scanlon,Tom Holland,Chris Pratt,Julia Louis-Dreyfus,"Family, Comedy, Adventure, Animation",onward
Connor,Ben Affleck,Al Madrigal,Michaela Watkins,Drama,the way back
Peter Berg,Mark Wahlberg,Winston Duke,Alan Arkin,"Comedy, Action, Thriller",spenser confidential
George Nolfi,Anthony Mackie,Nicholas Hoult,Nia Long,Drama,the banker
Giuseppe Capotondi,Claes Bang,Elizabeth Debicki,Mick Jagger,"Mystery, Thriller, Crime",the burnt orange heresy
Davis,Haley Bennett,Austin Stowell,Elizabeth Marvel,"Drama, Thriller, Horror",swallow
Kelly Reichardt,John Magaro,Orion Hall,René Auberjonois,"Drama, Western",first cow
Dave S. F. Wilson,Vin Diesel,Eiza González,Sam Heughan,"Action, Science Fiction, Adventure",bloodshot
Craig Zobel,Betty Gilpin,Ike Barinholtz,Amy Madigan,"Action, Thriller, Horror",the hunt
Erwin Brothers,KJ Apa,Britt Robertson,Shania Twain,Documentary,i still believe
Liz Garbus,Amy Ryan,Thomasin McKenzie,Lola Kirke,"Drama, Mystery, Thriller, History",lost girls
Julia Hart,Grace VanderWaal,Graham Verchere,Giancarlo Esposito,"Drama, Science Fiction, Fantasy",stargirl
Sally Potter,Javier Bardem,Elle Fanning,Laura Linney,Drama,the roads not taken
Eliza Hittman,Sidney Flanigan,Talia Ryder,Theodore Pellerin,Drama,never rarely sometimes always
Jason Orley,Pete Davidson,Griffin Gluck,Jon Cryer,"Comedy, Drama",big time adolescence
Brien,Simon Pegg,Juno Temple,Alexandra Daddario,Drama,lost transmissions
,,,,,no films had been released on this date as resulting the closure of theaters caused by the covid-19 pandemic
Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,"War, Drama, Thriller",resistance
Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,"Drama, Comedy",uncorked
Lorcan Finnegan,Imogen Poots,Jesse Eisenberg,,"Science Fiction, Thriller, Mystery, Horror",vivarium
Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,"Comedy, Action, Crime",coffee & kareem
Walt Dohrn,Anna Kendrick,Justin Timberlake,Rachel Bloom,"Family, Animation, Comedy, Fantasy, Adventure, Music",trolls world tour
Dean Craig,Olivia Munn,Sam Claflin,Freida Pinto,"Comedy, Romance",love wedding repeat
Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,"Family, Comedy",the main event
Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,"Horror, Thriller",we summon the darkness
Vicky Wight,Leslie Bibb,Josh Duhamel,Nora Dunn,"Drama, Romance",the lost husband
Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,"Horror, Comedy",corona zombies
Ronn Kilby,Mark Christopher Lawrence,Diane Sargent,Michelle Way,Comedy,skin: the movie
Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,Documentary,sergio
Kris Pearn,Will Forte,Maya Rudolph,Alessia Cara,"Animation, Comedy, Family",the willoughbys
Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,"Action, Thriller",extraction
Sean McEwen,Tom Felton,Tammin Sursok,Wendi McLendon-Covey,"Drama, Comedy",braking for whales
Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,"Drama, Crime, History",bad education
Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,Thriller,dangerous lies
Joe Robert Cole,Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,Drama,all day and a night
The Pierce Brothers,John-Paul Howard,Piper Curda,Zarah Mahler,"Horror, Mystery, Thriller",the wretched
Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,"Comedy, Romance, Drama",the half of it
Clark Duke,Liam Hemsworth,Clark Duke,Michael Kenneth Williams,"Crime, Thriller, Action, Mystery",arkansas
Rachel Lee Goldenberg,Jessica Rothe,Josh Whitehouse,Mae Whitman,"Comedy, Romance",valley girl
Josh Trank,Tom Hardy,Linda Cardellini,Jack Lowden,"Crime, Drama",capone
Tyler Spindel,David Spade,Lauren Lapkus,Geoff Pierson,"Comedy, Romance",the wrong missy
Tony Cervone,Will Forte,Mark Wahlberg,Jason Isaacs,"Animation, Comedy, Family, Mystery",scoob!
Eric Demeusy,Ryan Masson,Highdee Kuan,Christian Prentice,Documentary,proximity
John Barr,Tom Berenger,Kristen Hager,Mark Sivertsen,"Thriller, Crime, Drama, Action",blood and money
Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,"Horror, Thriller, Mystery",body cam
Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,"Romance, Comedy",the lovebirds
Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,"Drama, Mystery, Thriller",inheritance
Matt Eskandari,Bruce Willis,Chad Michael Murray,,"Thriller, Action, TV Movie",survive the night
Nicholas Ashe Bateman,Josh Clark,,,"Drama, Fantasy, Romance",the wanting mare
Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,"Romance, Comedy, Music, Drama",the high note
Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,"History, Drama",shirley
Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,"Action, Crime, Thriller",the last days of american crime
Cary Murnion,Lulu Wilson,Kevin James,Joel McHale,"Thriller, Horror, Action",becky
Sean McNamara,Janel Parrish,Alexa PenaVega,Carlos PenaVega,"Comedy, Drama",mighty oak
Gil Junger,Josh Duhamel,Megan Fox,,"Family, Comedy, Drama",think like a dog
Spike Lee,Delroy Lindo,Jonathan Majors,Clarke Peters,"War, Drama",da 5 bloods
Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,"Adventure, Fantasy, Science Fiction, Family, Action",artemis fowl
Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,"Comedy, Drama",the king of staten island
Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,Action,sniper: assassin's end
David Koepp,Kevin Bacon,Amanda Seyfried,,"Horror, Thriller",you should have left
Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,"Drama, History, Thriller",wasp network
Elissa Down,Sofia Carson,Enrico Colantoni,Wolfgang Novogratz,"Comedy, Music, Drama",feel the beat
Patrick Vollrath,Joseph Gordon-Levitt,,,"Drama, Thriller, Action",7500
Jon Shenk,,,,"Drama, History",athlete a
David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,"Comedy, Music",eurovision song contest: the story of fire saga
Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,"Comedy, Drama",irresistible
Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,"Family, Action, Comedy",my spy
Daniel Chong,Eric Edelstein,Bobby Moynihan,Demetri Martin,"Animation, Adventure, Family, Comedy, TV Movie",we bare bears: the movie
Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,"History, Drama",hamilton
Natalie Erika James,Emily Mortimer,Robyn Nevin,Bella Heathcote,"Horror, Mystery",relic
LP,Anna Camp,Robbie Amell,Nasim Pedrad,"Comedy, Romance",desperados
Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,"Action, Fantasy",the old guard
Andrew Lawrence,Adam Copeland,Kelsey Grammer,Thomas Jane,"Action, Crime, Thriller",money plane
Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,"War, Action, Drama",greyhound
Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,"Comedy, Romance, Science Fiction",palm springs
Peter Sullivan,Nia Long,Omar Epps,Stephen Bishop,"Mystery, Thriller",fatal affair
Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,"Thriller, Action, Crime",the silencing
The Brothers Riedell,Lucy Hale,Leonidas Gulaptis,Jackie Cruz,"Comedy, Romance",a nice girl like you
Eric Bress,Brenton Thwaites,Theo Rossi,Skylar Astin,"Horror, Thriller, War, Science Fiction",ghosts of war
Scott Christian Sava,John Krasinski,Emily Blunt,Ian McKellen,"Comedy, Animation, Adventure, Family",animal crackers
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,"Comedy, Romance",the kissing booth 2
Dave Franco,Dan Stevens,Alison Brie,Sheila Vand,"Horror, Thriller",the rental
Dikayl Rimmasch,Beyoncé,,,Music,black is king
Andy Tennant,Katie Holmes,Josh Lucas,Jerry O'Connell,"Drama, Romance",the secret: dare to dream
Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,"Drama, Romance",summerland
Amy Seimetz,Kate Lyn Sheil,Jane Adams,Kentucker Audley,Drama,she dies tomorrow
Brandon Trost,Seth Rogen,Sarah Snook,,"Comedy, Drama",an american pickle
David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,"Action, Crime, Drama",the tax collector
Ciro Guerra,Mark Rylance,Johnny Depp,Robert Pattinson,"Drama, History",waiting for the barbarians
Ariel Schulman,Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,"Action, Crime, Science Fiction",project power
Tim Hill,Tom Kenny,Awkwafina,Matt Berry,,the spongebob movie: sponge on the run (canadian theatrical release)
Mark Waters,Adam DeVine,Gillian Jacobs,Jeffrey Tambor,"Family, Fantasy, Comedy",magic camp
Eugene Kotlyarenko,Joe Keery,Sasheer Zamata,Mischa Barton,"Comedy, Crime, Horror, Thriller",spree
Jesse Moss,,,,Documentary,boys state
Thea Sharrock,Sam Rockwell,Angelina Jolie,Danny DeVito,"Family, Comedy, Drama",the one and only ivan
Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,"Action, Thriller, Horror",unhinged
Michael Almereyda,Ethan Hawke,Eve Hewson,Ebon Moss-Bachrach,"History, Drama",tesla
RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,"Action, Crime, Drama, Thriller",cut throat city
Thor Freudenthal,Charlie Plummer,Andy García,Taylor Russell,"Drama, Romance",words on bathroom walls
Matt Eskandari,Jesse Metcalfe,Bruce Willis,,"Action, Adventure, Thriller",hard kill
Richard Tanne,Austin Abrams,Lili Reinhart,,"Drama, Romance",chemical hearts
Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,"Comedy, Science Fiction, Adventure",bill & ted face the music
Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,"Science Fiction, Horror, Action",the new mutants
Armando Iannucci,Dev Patel,Aneurin Barnard,Peter Capaldi,Comedy,the personal history of david copperfield
Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,"Mystery, Thriller, Horror",i'm thinking of ending things
Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,"Family, Animation, Science Fiction, Comedy",phineas and ferb the movie: candace against the universe
Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,"Documentary, Music",all together now
M. J. Bassett,Megan Fox,Philip Winchester,,"Action, Adventure",rogue
Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,Thriller,centigrade
Marco Pontecorvo,Joaquim de Almeida,Goran Višnjić,Stephanie Gil,Drama,fatima
Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,"Action, Thriller, Science Fiction",tenet
Mark Steven Johnson,Rachael Leigh Cook,Damon Wayans Jr.,,"Romance, Comedy","love, guaranteed"
Niki Caro,Liu Yifei,Donnie Yen,Tzi Ma,"Animation, Family, Adventure",mulan
John Leguizamo,John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,Drama,critical thinking
Julius Berg,Maisie Williams,Sylvester McCoy,Rita Tushingham,"Horror, Mystery, Thriller",the owners
Sam Macaroni,Pauly Shore,Mike Castle,Aimee Teegarden,Comedy,guest house
McG,Judah Lewis,Emily Alyn Lind,Jenna Ortega,"Comedy, Horror",the babysitter: killer queen
Rachel Lee Goldenberg,Haley Lu Richardson,Barbie Ferreira,Alex MacNicoll,"Drama, Comedy",unpregnant
Antonio Campos,Tom Holland,Bill Skarsgård,Riley Keough,"Crime, Drama, Thriller",the devil all the time
Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,"Comedy, Romance",the broken hearts gallery
Luke Eve,Brenton Thwaites,Lily Sullivan,Joel Jackson,"Romance, Drama, Comedy",i met a girl
Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,"Horror, Thriller",rent-a-pal
Yuval Adler,Noomi Rapace,Joel Kinnaman,Chris Messina,"Thriller, History, Drama",the secrets we keep
Christopher Renz,Janelle Monáe,Eric Lange,Jena Malone,Horror,antebellum
Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,"Thriller, Science Fiction, Horror",the nest
Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,"Crime, Action, Romance",blackbird
William Olsson,Alexandra Daddario,Takehiro Hira,Carice van Houten,Drama,lost girls & love hotels
Taylor A. Purdee,Taylor A. Purdee,John Donchak,Nathan Purdee,"Drama, Music",killian & the comeback kids
Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Sam Claflin,"Adventure, Mystery, Crime",enola holmes
Aaron Sorkin,Yahya Abdul-Mateen II,Sacha Baron Cohen,Danny Flaherty,"Drama, History",the trial of the chicago 7
Tate Taylor,Jessica Chastain,John Malkovich,Common,Drama,ava
Miranda July,Evan Rachel Wood,Richard Jenkins,Debra Winger,"Crime, Drama, Comedy",kajillionaire
Andrew Cohn,Richard Jenkins,Shane Paul McGhie,Da'Vine Joy Randolph,"Comedy, Drama",the last shift
Anna Mastro,Peyton Elizabeth Lee,Skylar Astin,Élodie Yung,"Action, Adventure, Comedy, Fantasy",secret society of second-born royals
Marc Carlini,Tommy Dewey,François Arnaud,Minka Kelly,Drama,she's in portland
Cooper Karl,Madelaine Petsch,Alexander Koch,,"Thriller, Horror",sightless
Joe Mantello,Jim Parsons,Zachary Quinto,Matt Bomer,Drama,the boys in the band
Julie Taymor,Julianne Moore,Alicia Vikander,Timothy Hutton,Drama,the glorias
Sofia Coppola,Rashida Jones,Bill Murray,Marlon Wayans,Romance,on the rocks
Brian Duffield,Katherine Langford,Charlie Plummer,Hayley Law,"Comedy, Horror",spontaneous
Osmany Rodriguez,Jaden Michael,Gerald W. Jones III,Gregory Diaz IV,"Comedy, Horror",vampires vs. the bronx
Brandon Cronenberg,Andrea Riseborough,Christopher Abbott,Rossif Sutherland,"Horror, Thriller, Science Fiction",possessor
Darren Lynn Bousman,Maggie Q,Alex Essoe,Luke Hemsworth,"Horror, Mystery",death of me
Timothy Woodward Jr.,Lin Shaye,Tobin Bell,,"Crime, Thriller",the call
Mike Elliott,Madison Pettis,Lizze Broadway,Piper Curda,Comedy,american pie presents: girls' rules
Veena Sud,Mireille Enos,Peter Sarsgaard,Joey King,"Horror, Mystery, Thriller",the lie
Kuffour Jr.,Mamoudou Athie,Phylicia Rashad,,"Horror, Science Fiction, Thriller",black box
Steven Brill,Adam Sandler,Kevin James,Julie Bowen,"Comedy, Mystery, Horror",hubie halloween
Brannon Braga,Britt Robertson,Anna Friel,Rafi Gavron,"Horror, Science Fiction",books of blood
Angel Manuel Soto,Jahi Di'Allo Winston,Meek Mill,Will Catlett,Drama,charm city kings
Tim Hill,Robert De Niro,Uma Thurman,Rob Riggle,"Comedy, Family",the war with grandpa
Woody Allen,Timothée Chalamet,Elle Fanning,Selena Gomez,"Comedy, Romance",a rainy day in new york
Diane Paragas,Eva Noblezada,Dale Watson,Princess Punzalan,"Drama, Music",yellow rose
Radha Blank,Radha Blank,Peter Kim,Oswin Benjamin,"Comedy, Romance",the 40-year-old version
Zu Quirke,Sydney Sweeney,Madison Iseman,Jacques Colimon,"Horror, Mystery, Thriller",nocturne
Rajeev Dassani,Sarita Choudhury,Sunita Mani,Omar Maskati,Horror,evil eye
Rachel Talalay,Tamara Smart,Oona Laurence,Tom Felton,"Family, Fantasy, Adventure, Comedy",a babysitter's guide to monster hunting
Michael Matthews,Dylan O'Brien,Jessica Henwick,Dan Ewing,"Comedy, Action, Adventure, Fantasy, Science Fiction",love and monsters
Mark Williams,Liam Neeson,Kate Walsh,Robert Patrick,"Thriller, Action, Crime",honest thief
Justin Baldoni,Fin Argus,Sabrina Carpenter,Madison Iseman,"Music, Drama, Romance",clouds
Edward James Olmos,David Strathairn,Kate Bosworth,Pablo Schreiber,"Drama, Comedy, Thriller",the devil has a name
Evan Morgan,Adam Brody,Sophie Nélisse,Tzi Ma,"Comedy, Drama, Mystery",the kid detective
Johnny Martin,Tyler Posey,Summer Spiro,Robert Ri'chard,"Horror, Thriller",alone
Lance Hool,Jacob Elordi,Adan Canto,Tiera Skovbye,"Romance, Drama",2 hearts
Steve Byrne,Jimmy O. Yang,Alex Moffat,Cedric the Entertainer,Comedy,the opening act
Don Michael Paul,Michael Gross,Jon Heder,,"Action, Horror",tremors: shrieker island
Robert Zemeckis,Anne Hathaway,Octavia Spencer,Stanley Tucci,"Horror, Thriller, Mystery, Drama",the witches
Glen Keane,Cathy Ang,Phillipa Soo,Ken Jeong,"Animation, Adventure, Family, Fantasy",over the moon
Jason Woliner,Sacha Baron Cohen,Maria Bakalova,,Comedy,borat subsequent moviefilm
Roger Kumble,Josephine Langford,Hero Fiennes Tiffin,Dylan Sprouse,"Romance, Drama",after we collided
David Prior,James Badge Dale,Marin Ireland,Stephen Root,"Horror, Mystery, Thriller",the empty man
Aaron Moorhead,Anthony Mackie,Jamie Dornan,,"Horror, Science Fiction, Thriller",synchronic
Justin Simien,Elle Lorraine,Vanessa Williams,Jay Pharoah,"Horror, Comedy",bad hair
Nicol Paone,Malin Åkerman,Kat Dennings,Aisha Tyler,Comedy,friendsgiving
Jones,Cailee Spaeny,Gideon Adlon,Lovie Simone,"Horror, Drama, Fantasy",the craft: legacy
John Whitesell,Emma Roberts,Luke Bracey,Kristin Chenoweth,"Comedy, Romance",holidate
Jacob Chase,Gillian Jacobs,John Gallagher Jr.,Azhy Robertson,Documentary,come play
Remi Weekes,Wunmi Mosaku. Sope Dirisu,Matt Smith,,"Drama, Horror",his house
Mark Tonderai,Omari Hardwick,Loretta Devine,,"Thriller, Horror, Fantasy",spell
Terry Ross,F. Scott Mudgett (screenplay),Honey Lauren,John Salandria,"Fantasy, Horror, Thriller",sweet taste of souls
Max Winkler,Charlie Hunnam,Jack O'Connell,Jessica Barden,Drama,jungleland
Thomas Bezucha,Diane Lane,Kevin Costner,Lesley Manville,"Thriller, Crime, Western",let him go
Andrea Di Stefano,Joel Kinnaman,Rosamund Pike,Common,"Drama, Crime, Thriller",the informer
Bryan Bertino,Marin Ireland,Michael Abbott Jr.,Xander Berkeley,Horror,the dark and the wicked
Ron Howard,Amy Adams,Glenn Close,Gabriel Basso,Drama,hillbilly elegy
Jeff Daniels,Nicholas Meyer,Stephanie Austen,Ted Koppel,Documentary,television event
David Fincher,Gary Oldman,Amanda Seyfried,Lily Collins,"Drama, History",mank
Christopher Landon,Vince Vaughn,Kathryn Newton,Katie Finneran,"Horror, Comedy",freaky
David E. Talbert,Forest Whitaker,Keegan-Michael Key,Hugh Bonneville,"Family, Fantasy, Music",jingle jangle: a christmas journey
Peyrafitte,Finn Cole,Margot Robbie,Travis Fimmel,Documentary,dreamland
Ian Nelms,Mel Gibson,Walton Goggins,Marianne Jean-Baptiste,"Drama, Thriller, Action, Fantasy, Crime",fatman
Edoardo Ponti,Sophia Loren,Ibrahima Gueye,Abril Zamora,Drama,the life ahead
Michael Angelo Covino,Kyle Marvin,Michael Angelo Covino,Gayle Rankin,"Drama, Action",the climb
Paul Leyden,Malin Åkerman,Bella Thorne,Fortune Feimster,"Action, Comedy, Drama",chick fight
Michael Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,"Family, Romance, Comedy, TV Movie",the princess switch: switched again
Aneesh Chaganty,Sarah Paulson,Kiera Allen,Pat Healy,"Thriller, Horror, Drama",run
Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,"Drama, Music",sound of metal
Dimitri Logothetis,Alain Moussi,Frank Grillo,JuJu Chan,"Action, Science Fiction, Fantasy",jiu jitsu
Josh Duhamel,Josh Duhamel,Dax Shepard,Olivia Munn,Comedy,buddy games
Joel Crawford,Nicolas Cage,Emma Stone,Ryan Reynolds,"Animation, Family, Adventure, Fantasy, Comedy",the croods: a new age
Clea DuVall,Kristen Stewart,Mackenzie Davis,Alison Brie,"Romance, Comedy",happiest season
George C. Wolfe,Viola Davis,Chadwick Boseman,Glynn Turman,"Drama, Music",ma rainey's black bottom
Chris Columbus,Kurt Russell,Goldie Hawn,Darby Camp,"Family, Fantasy, Adventure, Comedy",the christmas chronicles 2
Alan Ball,Paul Bettany,Sophia Lillis,Peter Macdissi,"Documentary, TV Movie",uncle frank
Taylor Swift,Taylor Swift,Jack Antonoff,Aaron Dessner,"Music, Documentary",folklore: the long pond studio sessions
Ben Falcone,Melissa McCarthy,Bobby Cannavale,Brian Tyree Henry,"Comedy, Science Fiction, Romance",superintelligence
Ashley Avis,Mackenzie Foy,Kate Winslet,Claire Forlani,Drama,black beauty
Ryan Murphy,Meryl Streep,James Corden,Jo Ellen Pellman,Drama,the prom
Marc Meyers,Jessica Rothe,Harry Shum Jr.,Kyle Allen,"Romance, Drama",all my life
Sharon Maguire,Isla Fisher,Jillian Bell,Santiago Cabrera,"Family, Fantasy, Comedy",godmothered
Luke Greenfield,Luis Gerardo Méndez,Connor Del Rio,,"Drama, Comedy, Crime",half brothers
April Mullen,Aaron Eckhart,Katheryn Winnick,Heather Graham,"Thriller, Crime, Mystery",wander
Lawrence Michael Levine,Aubrey Plaza,Christopher Abbott,Sarah Gadon,"Drama, Thriller",black bear
Steven Soderbergh,Meryl Streep,Candice Bergen,Gemma Chan,"Comedy, Drama",let them all talk
George Clooney,George Clooney,Felicity Jones,David Oyelowo,"Science Fiction, Drama",the midnight sky
Adam Mason,KJ Apa,Sofia Carson,Craig Robinson,Drama,songbird
John Patrick Shanley,Emily Blunt,Jamie Dornan,Jon Hamm,"Romance, Drama",wild mountain thyme
Reginald Hudlin,Jay Reeves,Thaddeus J. Mixson,Corinne Foxx,Drama,safety
Tara Miele,Sienna Miller,Diego Luna,Beth Grant,"Romance, Drama",wander darkly
Julia Hart,Rachel Brosnahan,Arinzé Kene,Marsha Stephanie Blake,"Crime, Drama",i'm your woman
Jamie Babbit,Drew Barrymore,Michael Zegen,T.J. Miller,"Science Fiction, Animation, Action, Crime",the stand in
Adam Egypt Mortimer,Joe Manganiello,Skylan Brooks,Zolee Griggs,"Action, Thriller, Crime, Science Fiction",archenemy
Ekwa Msangi,Ntare Mwine,Zainab Jah,Jayme Lawson,"Romance, Drama",farewell amor
Paul W. S. Anderson,Milla Jovovich,Tony Jaa,"Tip ""T.I."" Harris","Action, Fantasy, Adventure",monster hunter
Ric Roman Waugh,Gerard Butler,Morena Baccarin,David Denman,"Action, Adventure, Science Fiction, Thriller",greenland
Deon Taylor,Hilary Swank,Michael Ealy,Mike Colter,"Drama, Thriller",fatale
Donnell,Lindsey Morgan,Jonathan Howard,Daniel Bernhardt,"Science Fiction, Action, Thriller",skylines
Shawn Linden,Devon Sawa,Camille Sullivan,Nick Stahl,"Horror, Thriller, Mystery",hunter hunter
John Suits,Cody Kearsley,Bruce Willis,Thomas Jane,"Science Fiction, Action, Horror",breach
Paul Dugdale,Ariana Grande,,,"Music, Documentary","ariana grande: excuse me, i love you"
