director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Navot Papushado,Karen Gillan,Lena Headey,Carla Gugino,"Action, Crime, Thriller",gunpowder milkshake
Malcolm D. Lee,LeBron James,Don Cheadle,Khris Davis,"Family, Comedy, Adventure, Animation, Science Fiction",space jam: a new legacy
Adam Robitel,Taylor Russell,Logan Miller,Indya Moore,"Horror, Thriller, Mystery",escape room: tournament of champions
Leigh Janiak,Kiana Madeira,Ashley Zukerman,Gillian Jacobs,"Mystery, Horror",fear street part three: 1666
Colin Schiffli,Alexandra Daddario,Diego Boneta,Justin Chatwin,"Action, Comedy, Romance",die in a gunfight
Michael Sarnoski,Nicolas Cage,Alex Wolff,Adam Arkin,"Drama, Thriller, Mystery",pig
Mike Burns,Bruce Willis,Jaime King,Lala Kent,"Action, Thriller, Crime",out of death
Morgan Neville,Anthony Bourdain,,,Documentary,roadrunner: a film about anthony bourdain
Jones,Zoe Lister-Jones,Cailee Spaeny,Olivia Wilde,"Science Fiction, Thriller, Mystery, Action, Adventure",how it ends
Francisco Ruiz Velasco,Emile Hirsch,Lexi Medrano,Charlie Saxton,"Animation, Fantasy, Family, Action, Adventure",trollhunters: rise of the titans
Robert Schwentke,Henry Golding,Andrew Koji,Úrsula Corberó,"Thriller, Crime, Mystery",snake eyes
M. Night Shyamalan,Gael García Bernal,Vicky Krieps,Rufus Sewell,"Thriller, Mystery, Horror",old
Reinaldo Marcus Green,Mark Wahlberg,Reid Miller,Connie Britton,Drama,joe bell
Tanya Wexler,Kate Beckinsale,Bobby Cannavale,Laverne Cox,"Action, Thriller",jolt
Randall Emmett,Megan Fox,Bruce Willis,Emile Hirsch,"Crime, Mystery, Thriller, Action",midnight in the switchgrass
Peter Sattler,Ben Platt,Lola Kirke,Yvette Nicole Brown,Drama,broken diamonds
Ting Poo,Val Kilmer,,,"Documentary, Drama",val
Jamila Wignot,,,,Documentary,ailey
Serra,Dwayne Johnson,Emily Blunt,Édgar Ramírez,"Fantasy, Adventure",jungle cruise
Tom McCarthy,Matt Damon,Camille Cottin,Abigail Breslin,"Drama, Crime, Thriller",stillwater
David Lowery,Dev Patel,Alicia Vikander,Joel Edgerton,"Adventure, Drama, Fantasy",the green knight
Edson Oda,Winston Duke,Zazie Beetz,Benedict Wong,"Drama, Fantasy",nine days
Donnell,Jake Johnson,D'Arcy Carden,J.K. Simmons,"Comedy, Drama",ride the eagle
Braden King,Philip Ettinger,Stacy Martin,Cosmo Jarvis,Drama,the evening hour
Sabrina Doyle,Pablo Schreiber,Jena Malone,,Drama,lorelei
Sonia Kennebeck,,,,Documentary,enemies of the state
James Gunn,Idris Elba,Margot Robbie,John Cena,"Action, Comedy, Adventure",the suicide squad
Chase Palmer,John Boyega,Olivia Cooke,Bill Skarsgård,"Crime, Drama",naked singularity
Pascual Sisto,Charlie Shotwell,Michael C. Hall,Jennifer Ehle,"Drama, Thriller, Horror",john and the hole
Kirk DeMicco,Lin-Manuel Miranda,Ynairaly Simo,Zoe Saldana,"Animation, Family, Comedy",vivo
Scott Brignac,Hannah Kasulka,Luke Benward,Jude Demorest,"Comedy, Drama",playing god
Todd Stephens,Udo Kier,Jennifer Coolidge,Linda Evans,"Comedy, Drama",swan song
Nick Cannon,Nick Cannon,Chris Brown,Jaliyuh Manuel,"Drama, Comedy",she ball
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,"Romance, Comedy",the kissing booth 3
Peter Nicks,,,,Documentary,homeroom
Shawn Levy,Ryan Reynolds,Jodie Comer,Lil Rel Howery,"Comedy, Adventure, Science Fiction",free guy
Liesl Tommy,Jennifer Hudson,Forest Whitaker,Marlon Wayans,"Drama, Music, History",respect
Ferdinando Cito Filomarino,John David Washington,Boyd Holbrook,Vicky Krieps,"Crime, Mystery, Thriller",beckett
Rodo Sayagues,Stephen Lang,Brendan Sexton III,Madelyn Grace,"Thriller, Horror",don't breathe 2
Sian Heder,Emilia Jones,Eugenio Derbez,Troy Kotsur,"Drama, Music, Romance",coda
Nicholas Bruckman,Amanda Roddy (screenplay),,,Documentary,not going quietly
Lisa Joy,Hugh Jackman,Rebecca Ferguson,Thandiwe Newton,"Mystery, Science Fiction",reminiscence
Martin Campbell,Michael Keaton,Maggie Q,Samuel L. Jackson,"Action, Adventure, Thriller",the protégé
David Bruckner,Rebecca Hall,Sarah Goldberg,Evan Jonigkeit,"Drama, Horror, Mystery, Thriller",the night house
Dave Needham,Asher Bishop,David Tennant,Michelle Gomez,"Animation, Family, Comedy, Adventure, Fantasy",the loud house movie
Brian Andrew Mendoza,Jason Momoa,Isabela Merced,Manuel Garcia-Rulfo,"Action, Thriller, Drama",sweet girl
Sean Penn,Dylan Penn,Sean Penn,Katheryn Winnick,"Drama, Thriller, Crime",flag day
Dash Shaw,Lake Bell,Michael Cera,Angeliki Papoulia,"Animation, Fantasy",cryptozoo
Janell Shirtcliff,Josie Ho,Bella Thorne,Gavin Rossdale,Horror,habit
Neill Blomkamp,Carly Pope,Chris William Martin,Michael Rogers,"Thriller, Horror",demonic
Leos Carax,Adam Driver,Marion Cotillard,Simon Helberg,"Drama, Romance",annette
Eddie Arya,Caroline McQuade,Kenneth Trujillo,Wassim Hawat,"Action, Adventure, Drama, Fantasy",risen
Kwang Il Han,Theo James,Lara Pulver,Graham McTavish,"Animation, Action, Fantasy",the witcher: nightmare of the wolf
Angel Kristi Williams,Kofi Siriboe,Yootha Wong-Loi-Sing,Blair Underwood,"Romance, Drama",really love
Nia DaCosta,Yahya Abdul-Mateen II,Teyonah Parris,Nathan Stewart-Jarrett,"Drama, Horror, Thriller",candyman
Clay Tarver,John Cena,Lil Rel Howery,Yvonne Orji,Comedy,vacation friends
Mark Waters,Addison Rae,Tanner Buchanan,Madison Pettis,"Comedy, Romance",he's all that
Amber Sealey,Elijah Wood,Luke Kirby,Aleksa Palladino,"Crime, Drama, Thriller, History",no man of god
Vibeke Muasya,Siobhan Fallon Hogan (screenplay),Siobhan Fallon Hogan,Robert Patrick,"Mystery, Thriller, Horror, Drama, Crime",rushed
Stephen Herek,Victoria Justice,Midori Francis,Timothy Renouf,"Fantasy, Comedy, Drama",afterlife of the party
Destin Daniel Cretton,Simu Liu,Awkwafina,Meng'er Zhang,"Action, Adventure, Fantasy",shang-chi and the legend of the ten rings
Kay Cannon,Camila Cabello,Idina Menzel,Nicholas Galitzine,"Romance, Fantasy, Family, Drama",cinderella
Sara Colangelo,Michael Keaton,Stanley Tucci,Amy Ryan,Drama,worth
Michele Civetta,Shea Whigham,Olivia Munn,Frank Grillo,Science Fiction,the gateway
Lyle Mitchell Corbine Jr.,Michael Greyeyes,Chaske Spencer,Jesse Eisenberg,"Crime, Drama, Thriller",wild indian
Grady,Sierra McCormick,Vinessa Shaw,Pat Healy,"Horror, Mystery",we need to do something
Troyan,Mary Elizabeth Winstead,Miku Martineau,Woody Harrelson,"Action, Thriller",kate
Jonathan Butterell,Max Harwood,Sarah Lancashire,Lauren Patel,"Drama, Comedy",everybody's talking about jamie
James Wan,Annabelle Wallis,Maddie Hasson,George Young,"Horror, Mystery",malignant
Gita Pullapilly,Kristen Bell,Kirby Howell-Baptiste,Paul Walter Hauser,"Comedy, Crime",queenpins
Paul Schrader,Oscar Isaac,Tiffany Haddish,Tye Sheridan,"Drama, Thriller, Crime",the card counter
Christopher Ashley,Petrina Bromley,Jenn Colella,De'Lon Grant,"Comedy, Drama",come from away
Michael Mohan,Sydney Sweeney,Justice Smith,Ben Hardy,Thriller,the voyeurs
John Pollono,Jon Bernthal,Shea Whigham,Jordana Spiro,"Crime, Drama, Thriller",small engine repair
Natalie Morales,,,,"Drama, Comedy, Romance",language lessons
Rick Altizer,Sherman Smith,Tony Evans,Steven Kendrick,Documentary,show me the father
Michael Feifer,Jay Pickett,Peter Facinelli,Tom Skerritt,"Western, Action",catch the bullet
Jonah Feingold,Francesca Reale,Jaboukie Young-White,Catherine Cohen,,dating and new york
Desiree Connell,Zach Galligan,Derek Russo,Corey Taylor,Horror,bad candy
Kevin T. Morales,Bridget McGarry,Victoria Leigh,Okieriete Onaodowan,"Comedy, Drama",generation wrecks
Christian Carion,James McAvoy,Claire Foy,Gary Lewis,"Thriller, Crime, Drama",my son
David Yarovesky,Winslow Fegley,Lidya Jewett,Krysten Ritter,"Fantasy, Family, Horror",nightbooks
Theodore Melfi,Melissa McCarthy,Chris O'Dowd,Timothy Olyphant,Drama,the starling
Michael Showalter,Jessica Chastain,Andrew Garfield,Cherry Jones,"Drama, History",the eyes of tammy faye
Clint Eastwood,Clint Eastwood,Dwight Yoakam,Eduardo Minett,"Drama, Western",cry macho
Joe Carnahan,Gerard Butler,Frank Grillo,Alexis Louder,"Thriller, Crime, Action",copshop
Justin Chon,Justin Chon,Alicia Vikander,Mark O'Brien,Animation,blue bayou
Sion Sono,Nicolas Cage,Sofia Boutella,Bill Moseley,"Action, Fantasy, Horror, Thriller",prisoners of the ghostland
Lina Roessler,Michael Caine,Aubrey Plaza,Scott Speedman,"Comedy, Drama",best sellers
Christian Long,Melanie Lynskey,Judy Greer,Justin Long,"Comedy, Fantasy",lady of the manor
Bill Benz,Annie Clark,Carrie Brownstein,Dakota Johnson,"Music, Comedy, Thriller",the nowhere inn
Julie Cohen,Talleah Bridges McMahon,Julie Cohen,Betsy West,Documentary,my name is pauli murray
David Midell,Frankie Faison,Steve O'Connell,Enrico Natale,"Mystery, Thriller, Drama",the killing of kenneth chamberlain
Adam Salky,Freida Pinto,Logan Marshall-Green,Robert John Burke,"Drama, Mystery, Thriller",intrusion
Jose Ucha,Vanessa Hudgens,Kimiko Glenn,James Marsden,"Animation, Family, Fantasy, Comedy, Adventure",my little pony: a new generation
Stephen Chbosky,Ben Platt,Kaitlyn Dever,Amandla Stenberg,Drama,dear evan hansen
Antoine Fuqua,Jake Gyllenhaal,Ethan Hawke,Riley Keough,"Drama, Thriller",the guilty
Sarah Adina Smith,Kristine Froseth,Diana Silvers,Jacqueline Bisset,Drama,birds of paradise
Castille Landon,Josephine Langford,Hero Fiennes Tiffin,Louise Lombard,"Romance, Drama",after we fell
Andy Serkis,Tom Hardy,Michelle Williams,Naomie Harris,"Science Fiction, Action, Adventure",venom: let there be carnage
Alan Taylor,Alessandro Nivola,Michael Gandolfini,Leslie Odom Jr.,"Crime, Drama",the many saints of newark
