director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Gerard Johnstone,Allison Williams,Violet McGraw,Amie Donald,"Science Fiction, Horror",m3gan
Brett Donowho,Nicolas Cage,Ryan Kiera Armstrong,,"Western, Drama",the old way
Nathan Frankowski,Alice Orr-Ewing,Joe Doyle,Eveline Hall,"Horror, Fantasy, Science Fiction, Thriller",the devil conspiracy
ois Richet,Gerard Butler,Mike Colter,Yoson An,"Action, Adventure, Thriller",plane
Calmatic,Tosin Cole,Jacob Latimore,Karen Obilom,Comedy,house party
John Hyams,Gideon Adlon,Bethlehem Million,Marc Menchaca,"Science Fiction, Horror",sick
Sarah Adina Smith,Anna Konkle,Jermaine Fowler,Jillian Bell,"Drama, Crime",the drop
Stephen Herek,Rob Lowe,Johnny Berchtold,Kimberly Williams-Paisley,"Family, Adventure, Drama",dog gone
Roxanne Benjamin,Alisha Wainwright,Zach Gilford,Amanda Crew,"Horror, Mystery, Thriller",there's something wrong with the children
Will Merrick,Storm Reid,Joaquim de Almeida,Ken Leung,"Drama, Mystery, Thriller",missing
Florian Zeller,Hugh Jackman,Laura Dern,Vanessa Kirby,Drama,the son
Jesse Eisenberg,Julianne Moore,Finn Wolfhard,Alisha Boe,"Drama, Comedy",when you finish saving the world
Edward John Drake,Bruce Willis,,,"Action, Crime, Thriller",detective knight: independence
Jason Eisener,Dominic Mariche,Phoebe Rex,Calem MacDonald,"Horror, Science Fiction, Thriller",kids vs. aliens
Russell Mulcahy,Tyler Posey,Crystal Reed,Tyler Hoechlin,"Action, Fantasy, TV Movie",teen wolf: the movie
Kenya Barris,Jonah Hill,Lauren London,David Duchovny,"Romance, Comedy",you people
Jason Moore,Jennifer Lopez,Josh Duhamel,Sônia Braga,"Comedy, Crime, Romance",shotgun wedding
Michael Jacobs,Diane Keaton,Richard Gere,Susan Sarandon,"Comedy, Romance, Drama",maybe i do
Cecilia Miniucchi,Danny Huston,Radha Mitchell,Bob Odenkirk,Comedy,life upside down
Deon Taylor,Joseph Sikora,King Bach,Annie Ilonzeh,"Horror, Drama",fear
M. Night Shyamalan,Dave Bautista,Jonathan Groff,Ben Aldridge,"Horror, Mystery, Thriller",knock at the cabin
Kyle Marvin,Lily Tomlin,Jane Fonda,Rita Moreno,"Comedy, Drama",80 for brady
Nicolas Harvard,Ryan Phillippe,Kate Bosworth,Ving Rhames,"Thriller, Mystery, Action, Crime, Drama",the locksmith
Bess Wohl,Noémie Merlant,Kit Harington,Meredith Hagner,"Thriller, Horror, Drama",baby ruby
Brett Smith,Gerran Howell,RJ Cyler,Ewen Bremner,"Drama, History, War",freedom's path
